number,id,name,speed,positionX,positionY,timestamp,lane,in,out,left_id,front_id,right_id,back_id,left_distance,front_distance,right_distance,back_distance
275,5,person,13km/h,1058,571,1688833122245
276,6,bicycle,3km/h,1060,600,1688833122245
277,7,traffic light,2km/h,587,322,1688833122245
278,8,car,57km/h,1224,446,1688833122245
279,9,car,0km/h,1241,514,1688833122245
280,10,traffic light,2km/h,311,319,1688833122245
281,11,traffic light,4km/h,1036,75,1688833122245
282,26,car,9km/h,713,421,1688833122245
283,32,car,73km/h,379,525,1688833122245
284,33,traffic light,3km/h,854,284,1688833122245
285,34,traffic light,2km/h,1259,371,1688833122245
286,2,motorcycle,3km/h,1061,600,1688833122279
287,4,car,,490,383,1688833122279
288,5,person,13km/h,1058,572,1688833122279
289,6,bicycle,3km/h,1060,600,1688833122279
290,7,traffic light,2km/h,587,322,1688833122279
291,8,car,56km/h,1232,448,1688833122279
292,9,car,1km/h,1240,515,1688833122279
293,10,traffic light,2km/h,311,319,1688833122279
294,11,traffic light,4km/h,1036,74,1688833122279
295,26,car,9km/h,714,421,1688833122279
296,32,car,74km/h,367,527,1688833122279
297,33,traffic light,3km/h,854,283,1688833122279
298,2,motorcycle,3km/h,1060,600,1688833122312
299,4,car,9km/h,491,384,1688833122312
300,5,person,12km/h,1058,572,1688833122312
301,6,bicycle,3km/h,1060,600,1688833122312
302,7,traffic light,2km/h,587,322,1688833122312
303,9,car,1km/h,1240,516,1688833122312
304,10,traffic light,2km/h,311,318,1688833122312
305,11,traffic light,4km/h,1036,74,1688833122312
306,26,car,9km/h,714,422,1688833122312
307,32,car,74km/h,356,528,1688833122312
308,33,traffic light,3km/h,854,283,1688833122312
309,4,car,11km/h,491,382,1688833122345
310,5,person,12km/h,1058,570,1688833122345
311,6,bicycle,3km/h,1060,601,1688833122345
312,7,traffic light,2km/h,586,322,1688833122345
313,9,car,1km/h,1238,516,1688833122345
314,10,traffic light,2km/h,310,320,1688833122345
315,11,traffic light,4km/h,1038,74,1688833122345
316,26,car,9km/h,715,422,1688833122345
317,32,car,75km/h,343,529,1688833122345
318,33,traffic light,2km/h,854,283,1688833122345
319,4,car,10km/h,492,381,1688833122379
320,5,person,12km/h,1057,570,1688833122379
321,6,bicycle,3km/h,1060,601,1688833122379
322,7,traffic light,2km/h,586,322,1688833122379
323,9,car,1km/h,1237,516,1688833122379
324,10,traffic light,2km/h,310,320,1688833122379
325,11,traffic light,4km/h,1038,74,1688833122379
326,32,car,76km/h,331,531,1688833122379
327,33,traffic light,2km/h,854,283,1688833122379
328,34,traffic light,,1259,372,1688833122379
329,4,car,12km/h,495,381,1688833122412
330,5,person,12km/h,1058,569,1688833122412
331,6,bicycle,3km/h,1060,601,1688833122412
332,7,traffic light,2km/h,587,321,1688833122412
333,9,car,1km/h,1237,516,1688833122412
334,10,traffic light,2km/h,310,320,1688833122412
335,11,traffic light,4km/h,1039,74,1688833122412
336,32,car,76km/h,318,530,1688833122412
337,33,traffic light,2km/h,854,283,1688833122412
338,34,traffic light,0km/h,1259,372,1688833122412
339,4,car,12km/h,497,381,1688833122445
340,5,person,11km/h,1058,569,1688833122445
341,6,bicycle,3km/h,1060,601,1688833122445
342,7,traffic light,2km/h,587,321,1688833122445
343,9,car,1km/h,1237,516,1688833122445
344,10,traffic light,2km/h,310,321,1688833122445
345,11,traffic light,4km/h,1039,74,1688833122445
346,32,car,77km/h,305,532,1688833122445
347,34,traffic light,0km/h,1259,372,1688833122445
348,4,car,14km/h,500,382,1688833122479
349,5,person,11km/h,1057,568,1688833122479
350,6,bicycle,3km/h,1059,600,1688833122479
351,7,traffic light,2km/h,587,321,1688833122479
352,9,car,1km/h,1237,517,1688833122479
